city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sydney,-33.8650,151.2094,Australia,AU,New South Wales,admin,5312163,4840600
Melbourne,-37.8136,144.9631,Australia,AU,Victoria,admin,5078193,4529500
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2514184,2360241
Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Adelaide,-34.9289,138.6011,Australia,AU,South Australia,admin,1345777,1295714
Gold Coast,-28.0167,153.4000,Australia,AU,Queensland,,679127,638090
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,426704,381488
Newcastle,-32.9167,151.7500,Australia,AU,New South Wales,,322278,152984
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,302739,289236
Geelong,-38.1500,144.3500,Australia,AU,Victoria,,263280,191440
Hobart,-42.8806,147.3250,Australia,AU,Tasmania,admin,240342,222356
Townsville,-19.2564,146.8183,Australia,AU,Queensland,,180820,178649
Ipswich,-27.6167,152.7667,Australia,AU,Queensland,,163000,163000
Cairns,-16.9303,145.7703,Australia,AU,Queensland,,152729,146778
Toowoomba,-27.5667,151.9500,Australia,AU,Queensland,,136861,135631
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,136828,136828
Ballarat,-37.5500,143.8500,Australia,AU,Victoria,,105471,98543
Bendigo,-36.7500,144.2667,Australia,AU,Victoria,,99122,95587
Launceston,-41.4419,147.1450,Australia,AU,Tasmania,,87328,87328
Mackay,-21.1411,149.1861,Australia,AU,Queensland,,80148,3659
Rockhampton,-23.3750,150.5117,Australia,AU,Queensland,,78592,78592
Maitland,-32.7167,151.5500,Australia,AU,New South Wales,,78015,1885
Bunbury,-33.3333,115.6333,Australia,AU,Western Australia,,74363,71090
Coffs Harbour,-30.3022,153.1189,Australia,AU,New South Wales,,71822,25752
Bundaberg,-24.8500,152.3500,Australia,AU,Queensland,,70921,70540
Wagga Wagga,-35.1189,147.3689,Australia,AU,New South Wales,,56442,54411
Hervey Bay,-25.2853,152.8728,Australia,AU,Queensland,,54674,54674
Shepparton,-36.3833,145.4000,Australia,AU,Victoria,,51631,31197
Albury,-36.0806,146.9158,Australia,AU,New South Wales,,47974,4804
Port Macquarie,-31.4333,152.9000,Australia,AU,New South Wales,,47973,44830
Pakenham,-38.0712,145.4878,Australia,AU,Victoria,,46421,46421
Tamworth,-31.0833,150.9167,Australia,AU,New South Wales,,42872,180
Caloundra,-26.7986,153.1289,Australia,AU,Queensland,,41293,41293
Orange,-33.2833,149.1000,Australia,AU,New South Wales,,40493,38097
Dubbo,-32.2569,148.6011,Australia,AU,New South Wales,,38392,38392
Geraldton,-28.7744,114.6089,Australia,AU,Western Australia,,37648,37648
Nowra,-34.8833,150.6000,Australia,AU,New South Wales,,37420,9193
Bathurst,-33.4200,149.5778,Australia,AU,New South Wales,,36801,35020
Queanbeyan,-35.3533,149.2342,Australia,AU,New South Wales,,36348,6237
Frankston,-38.1580,145.1350,Australia,AU,Victoria,,36097,36097
Sunbury,-37.5811,144.7139,Australia,AU,Victoria,,36084,36084
Warrnambool,-38.3833,142.4833,Australia,AU,Victoria,,35214,29661
Wodonga,-36.1214,146.8881,Australia,AU,Victoria,,35130,18948
Albany,-35.0228,117.8814,Australia,AU,Western Australia,,34205,29373
Gladstone,-23.8489,151.2625,Australia,AU,Queensland,,33418,33418
Mildura,-34.1889,142.1583,Australia,AU,Victoria,,32738,32738
Southport,-27.9667,153.4000,Australia,AU,Queensland,,31908,31908
Dandenong,-37.9810,145.2150,Australia,AU,Victoria,,29906,29906
Kalgoorlie,-30.7489,121.4658,Australia,AU,Western Australia,,29849,29849
Mount Gambier,-37.8294,140.7828,Australia,AU,South Australia,,29639,25512
Lismore,-28.8167,153.2833,Australia,AU,New South Wales,,28720,3579
Maryborough,-25.5375,152.7019,Australia,AU,Queensland,,27282,15406
Quakers Hill,-33.7344,150.8789,Australia,AU,New South Wales,,27080,27080
Gawler,-34.5981,138.7450,Australia,AU,South Australia,,26472,650
Caboolture,-27.0667,152.9670,Australia,AU,Queensland,,26433,26433
Ballina,-28.8333,153.5333,Australia,AU,New South Wales,,26381,3023
Taree,-31.9000,152.4500,Australia,AU,New South Wales,,26381,16197
Traralgon,-38.1958,146.5403,Australia,AU,Victoria,,25485,24933
Busselton,-33.6478,115.3458,Australia,AU,Western Australia,,25329,25329
Armidale,-30.5000,151.6500,Australia,AU,New South Wales,,24504,24504
Goulburn,-34.7547,149.6186,Australia,AU,New South Wales,,23835,22419
Alice Springs,-23.7000,133.8667,Australia,AU,Northern Territory,,23726,23726
Devonport,-41.1806,146.3464,Australia,AU,Tasmania,,23046,23046
Bacchus Marsh,-37.6750,144.4389,Australia,AU,Victoria,,22223,6394
Whyalla,-33.0333,137.5667,Australia,AU,South Australia,,21742,21742
Cessnock,-32.8342,151.3555,Australia,AU,New South Wales,,21725,15177
Gympie,-26.1900,152.6655,Australia,AU,Queensland,,21599,10803
Griffith,-34.2900,146.0400,Australia,AU,New South Wales,,20251,18196
Kwinana,-32.2394,115.7702,Australia,AU,Western Australia,,20086,17549
Burnie,-41.0636,145.8753,Australia,AU,Tasmania,,19385,19385
Wangaratta,-36.3583,146.3125,Australia,AU,Victoria,,19318,17377
Grafton,-29.6833,152.9333,Australia,AU,New South Wales,,19078,10408
Yeppoon,-23.1333,150.7333,Australia,AU,Queensland,,19003,6334
Murray Bridge,-35.1170,139.2670,Australia,AU,South Australia,,18779,14560
Mount Isa,-20.7333,139.5000,Australia,AU,Queensland,,18588,118
Narangba,-27.2015,152.9655,Australia,AU,Queensland,,18573,18573
Mount Eliza,-38.1890,145.0920,Australia,AU,Victoria,,17888,17888
Broken Hill,-31.9567,141.4678,Australia,AU,New South Wales,,17734,17734
Nerang,-27.9956,153.3220,Australia,AU,Queensland,,16864,16864
Karratha,-20.7364,116.8464,Australia,AU,Western Australia,,16708,16708
Mount Barker,-35.0667,138.8500,Australia,AU,South Australia,,16629,13842
Horsham,-36.7167,142.2000,Australia,AU,Victoria,,16514,14543
Lara,-38.0167,144.4167,Australia,AU,Victoria,,16355,16355
Singleton,-32.5667,151.1697,Australia,AU,New South Wales,,16346,5000
Port Lincoln,-34.7322,135.8586,Australia,AU,South Australia,,16326,14120
Banora Point,-28.2225,153.5386,Australia,AU,New South Wales,,16167,16167
Warwick,-28.2152,152.0352,Australia,AU,Queensland,,15380,12222
Rochedale,-27.5952,153.1233,Australia,AU,Queensland,,15317,15317
Kempsey,-31.0833,152.8333,Australia,AU,New South Wales,,15309,474
Ulladulla,-35.3486,150.4678,Australia,AU,New South Wales,,15278,15278
Sale,-38.1000,147.0667,Australia,AU,Victoria,,15135,13673
Echuca,-36.1333,144.7500,Australia,AU,Victoria,,14934,14043
Australind,-33.2792,115.7150,Australia,AU,Western Australia,,14539,14539
Broome,-17.9619,122.2361,Australia,AU,Western Australia,,14445,4042
Port Hedland,-20.3100,118.6011,Australia,AU,Western Australia,,14320,4180
Warragul,-38.1500,145.9333,Australia,AU,Victoria,,14276,14276
Port Pirie,-33.1858,138.0169,Australia,AU,South Australia,,14188,195
Barwon Heads,-38.2500,144.5167,Australia,AU,Victoria,,14165,14165
Emerald,-23.5167,148.1500,Australia,AU,Queensland,,14119,14119
Ulverstone,-41.1667,146.1667,Australia,AU,Tasmania,,14109,14109
Morwell,-38.2333,146.4000,Australia,AU,Victoria,,14026,13771
Gisborne,-37.4900,144.5889,Australia,AU,Victoria,,13963,8999
Port Augusta,-32.4925,137.7658,Australia,AU,South Australia,,13799,6562
Forster,-32.1806,152.5117,Australia,AU,New South Wales,,13740,13740
Penrith,-33.7511,150.6942,Australia,AU,New South Wales,,13295,13295
Torquay,-38.3333,144.3167,Australia,AU,Victoria,,13258,13258
Jimboomba,-27.8333,153.0333,Australia,AU,Queensland,,13201,13201
Lithgow,-33.4833,150.1500,Australia,AU,New South Wales,,12973,5201
Bowral,-34.4792,150.4181,Australia,AU,New South Wales,,12949,10335
Goonellabah,-28.8150,153.3178,Australia,AU,New South Wales,,12900,12900
Raymond Terrace,-32.7615,151.7441,Australia,AU,New South Wales,,12820,12820
Leopold,-38.1892,144.4644,Australia,AU,Victoria,,12814,12814
Dalby,-27.1833,151.2667,Australia,AU,Queensland,,12719,12719
Campbelltown,-34.0733,150.8261,Australia,AU,New South Wales,,12566,12566
Colac,-38.3403,143.5847,Australia,AU,Victoria,,12547,9048
Muswellbrook,-32.2654,150.8885,Australia,AU,New South Wales,,12364,12075
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,12145,2144
Drouin,-38.1333,145.8500,Australia,AU,Victoria,,11887,11887
Rutherford,-32.7150,151.5317,Australia,AU,New South Wales,,11884,11884
Nelson Bay,-32.7150,152.1511,Australia,AU,New South Wales,,11820,11820
Inverell,-29.7817,151.1178,Australia,AU,New South Wales,,11660,11660
Parkes,-33.0950,148.2628,Australia,AU,New South Wales,,11408,11408
Somerville,-38.2260,145.1770,Australia,AU,Victoria,,11336,11336
Gracemere,-23.4333,150.4500,Australia,AU,Queensland,,11315,11315
Batemans Bay,-35.7081,150.1744,Australia,AU,New South Wales,,11294,1530
Nambour,-26.6269,152.9592,Australia,AU,Queensland,,11187,11187
Swan Hill,-35.3333,143.5500,Australia,AU,Victoria,,11103,9864
Mareeba,-16.9833,145.4167,Australia,AU,Queensland,,11079,11079
Corinda,-27.4833,153.1000,Australia,AU,Queensland,,11019,11019
Samford,-27.3667,152.8833,Australia,AU,Queensland,,10931,796
Mudgee,-32.6125,149.5872,Australia,AU,New South Wales,,10923,10923
Casino,-28.8483,153.0511,Australia,AU,New South Wales,,10914,10914
Portland,-38.3333,141.6000,Australia,AU,Victoria,,10900,9712
Kingston,-42.9769,147.3083,Australia,AU,Tasmania,,10409,10409
Kingaroy,-26.5333,151.8333,Australia,AU,Queensland,,10398,10020
Kangaroo Flat,-36.8000,144.2500,Australia,AU,Victoria,,10394,10394
Bowen,-20.0167,148.2333,Australia,AU,Queensland,,10377,10377
Young,-34.3000,148.3000,Australia,AU,New South Wales,,10295,10295
Cowra,-33.8183,148.6578,Australia,AU,New South Wales,,10063,10063
Hamilton,-37.7333,142.0167,Australia,AU,Victoria,,9974,9974
Gunnedah,-30.9667,150.2500,Australia,AU,New South Wales,,9726,9726
Mount Evelyn,-37.7833,145.3833,Australia,AU,Victoria,,9702,9702
Andergrove,-21.0931,149.1860,Australia,AU,Queensland,,9419,9419
Moree,-29.4650,149.8344,Australia,AU,New South Wales,,9311,9311
Benalla,-36.5519,145.9817,Australia,AU,Victoria,,9298,9298
Currumbin,-28.1580,153.4690,Australia,AU,Queensland,,9121,9121
Wollert,-37.5970,145.0330,Australia,AU,Victoria,,9060,9060
Mittagong,-34.4500,150.4500,Australia,AU,New South Wales,,8999,5767
Kelso,-33.4186,149.6056,Australia,AU,New South Wales,,8968,8968
Yanchep,-31.5500,115.6340,Australia,AU,Western Australia,,8868,8868
Bentley,-32.0010,115.9240,Australia,AU,Western Australia,,8782,8782
Moe,-38.1722,146.2678,Australia,AU,Victoria,,8778,8778
Ayr,-19.5744,147.4066,Australia,AU,Queensland,,8738,8738
Moranbah,-22.0016,148.0533,Australia,AU,Queensland,,8735,8735
Leeton,-34.5483,146.4011,Australia,AU,New South Wales,,8623,8623
Moss Vale,-34.5483,150.3678,Australia,AU,New South Wales,,8579,8579
Wallan,-37.4167,144.9833,Australia,AU,Victoria,,8520,8504
Springwood,-33.6967,150.5683,Australia,AU,New South Wales,,8475,8475
Lesmurdie,-31.9940,116.0500,Australia,AU,Western Australia,,8437,8437
Forbes,-33.3833,148.0167,Australia,AU,New South Wales,,8432,8432
Emu Plains,-33.7483,150.6678,Australia,AU,New South Wales,,8421,8421
Rye,-38.3770,144.8380,Australia,AU,Victoria,,8416,8416
Darley,-37.6547,144.4370,Australia,AU,Victoria,,8372,8372
Ararat,-37.2833,142.9167,Australia,AU,Victoria,,8300,8297
Tweed Heads,-28.1833,153.5500,Australia,AU,New South Wales,,8176,8176
Highfields,-27.4581,151.9492,Australia,AU,Queensland,,8131,8131
Charters Towers,-20.1000,146.2667,Australia,AU,Queensland,,8120,8120
Melton,-37.6833,144.5833,Australia,AU,Victoria,,8069,8069
Katoomba,-33.7150,150.3128,Australia,AU,New South Wales,,7964,7964
Kilmore,-37.2833,144.9500,Australia,AU,Victoria,,7958,7958
Mooroopna,-36.3833,145.3500,Australia,AU,Victoria,,7942,7942
Yarrawonga,-36.0167,146.0000,Australia,AU,Victoria,,7930,7930
Maryborough,-37.0500,143.7350,Australia,AU,Victoria,,7921,7921
Deniliquin,-35.5317,144.9344,Australia,AU,New South Wales,,7862,7862
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,7837,7837
Bli Bli,-26.6180,153.0370,Australia,AU,Queensland,,7801,7801
Kiama,-34.6708,150.8542,Australia,AU,New South Wales,,7700,6881
Narre Warren North,-37.9833,145.3167,Australia,AU,Victoria,,7674,7674
Narrabri,-30.3317,149.7678,Australia,AU,New South Wales,,7606,7606
Bairnsdale,-37.8333,147.6167,Australia,AU,Victoria,,7580,7580
Clifton Springs,-38.1500,144.5667,Australia,AU,Victoria,,7519,7519
North Tamborine,-27.9694,153.1992,Australia,AU,Queensland,,7506,7506
Bargara,-24.8205,152.4625,Australia,AU,Queensland,,7485,7485
Kingscliff,-28.2564,153.5781,Australia,AU,New South Wales,,7464,7464
Healesville,-37.6561,145.5139,Australia,AU,Victoria,,7461,7461
Fremantle,-32.0569,115.7439,Australia,AU,Western Australia,,7459,7459
Blaxland,-33.7453,150.6175,Australia,AU,New South Wales,,7451,7451
Atherton,-17.2658,145.4780,Australia,AU,Queensland,,7331,7331
Kyabram,-36.3167,145.0500,Australia,AU,Victoria,,7321,7321
Innisfail,-17.5236,146.0292,Australia,AU,Queensland,,7236,1145
Sanctuary Point,-35.1036,150.6267,Australia,AU,New South Wales,,7225,7225
Collie,-33.3630,116.1560,Australia,AU,Western Australia,,7192,7192
Gatton,-27.5611,152.2755,Australia,AU,Queensland,,7101,7101
Merrimac,-28.0500,153.3667,Australia,AU,New South Wales,,7071,7071
Murwillumbah,-28.3333,153.3833,Australia,AU,New South Wales,,7032,7032
Urraween,-25.2955,152.8219,Australia,AU,Queensland,,6969,6969
Kyneton,-37.2333,144.4500,Australia,AU,Victoria,,6951,6951
Bongaree,-27.0814,153.1633,Australia,AU,Queensland,,6947,6947
Roma,-26.5733,148.7869,Australia,AU,Queensland,,6848,6848
Mount Cotton,-27.6188,153.2210,Australia,AU,Queensland,,6835,6835
Cootamundra,-34.6417,148.0250,Australia,AU,New South Wales,,6782,6782
Beerwah,-26.8556,152.9600,Australia,AU,Queensland,,6769,6769
Castlemaine,-37.0636,144.2172,Australia,AU,Victoria,,6757,6757
Pottsville,-28.3869,153.5608,Australia,AU,New South Wales,,6704,6704
Cooma,-36.2350,149.1258,Australia,AU,New South Wales,,6681,6681
Gordonvale,-17.0936,145.7866,Australia,AU,Queensland,,6671,6671
Lysterfield,-37.9333,145.3000,Australia,AU,Victoria,,6663,6663
Bomaderry,-34.8480,150.6050,Australia,AU,New South Wales,,6661,6661
Chinchilla,-26.7397,150.6250,Australia,AU,Queensland,,6612,6612
Northam,-31.6531,116.6661,Australia,AU,Western Australia,,6548,6548
Yass,-34.8203,148.9136,Australia,AU,New South Wales,,6506,6506
Strathalbyn,-35.2667,138.9000,Australia,AU,South Australia,,6504,6504
Burpengary,-27.1442,153.0000,Australia,AU,Queensland,,6433,6433
Waterford,-27.6833,153.1330,Australia,AU,Queensland,,6431,6431
Lennox Head,-28.7983,153.5844,Australia,AU,New South Wales,,6407,6407
Beaudesert,-27.9880,152.9958,Australia,AU,Queensland,,6395,6395
Margaret River,-33.9550,115.0750,Australia,AU,Western Australia,,6392,6392
Helensburgh,-34.1833,151.0000,Australia,AU,New South Wales,,6383,6383
Goondiwindi,-28.5461,150.3097,Australia,AU,Queensland,,6355,6355
Seymour,-37.0300,145.1300,Australia,AU,Victoria,,6327,6327
Nambucca Heads,-30.6414,152.9906,Australia,AU,New South Wales,,6327,6327
Nuriootpa,-34.4667,138.9833,Australia,AU,South Australia,,6314,6314
Wauchope,-31.4650,152.7344,Australia,AU,New South Wales,,6312,6312
Tumut,-35.3047,148.2228,Australia,AU,New South Wales,,6230,6230
Wentworthville,-33.8233,150.9678,Australia,AU,New South Wales,,6197,6197
Tuncurry,-32.1750,152.4989,Australia,AU,New South Wales,,6186,6186
Glen Innes,-29.7500,151.7361,Australia,AU,New South Wales,,6155,6155
Yamba,-29.4333,153.3500,Australia,AU,New South Wales,,6076,6076
Wentworth Falls,-33.7164,150.3772,Australia,AU,New South Wales,,6076,6076
South Grafton,-29.7150,152.9344,Australia,AU,New South Wales,,6068,6068
Kurri Kurri,-32.8167,151.4833,Australia,AU,New South Wales,,6044,6044
Stawell,-37.0500,142.7667,Australia,AU,Victoria,,6032,5736
Cobram,-35.9667,145.6500,Australia,AU,Victoria,,6014,6014
Wynyard,-41.0000,145.7167,Australia,AU,Tasmania,,6001,6001
Naracoorte,-36.9550,140.7429,Australia,AU,South Australia,,5960,5960
North Mackay,-21.1216,149.1783,Australia,AU,Queensland,,5933,5933
Cannington,-32.0167,115.9500,Australia,AU,Western Australia,,5929,5929
Concord,-33.8444,151.0903,Australia,AU,New South Wales,,5914,5914
Woodend,-37.3630,144.5260,Australia,AU,Victoria,,5806,5806
Dromana,-38.3380,144.9650,Australia,AU,Victoria,,5803,5803
Emerald,-37.9331,145.4370,Australia,AU,Victoria,,5778,5778
Biloela,-24.4002,150.5133,Australia,AU,Queensland,,5758,5758
Alstonville,-28.8317,153.4344,Australia,AU,New South Wales,,5739,5739
Cannonvale,-20.2863,148.6866,Australia,AU,Queensland,,5716,5716
Point Vernon,-25.2538,152.8177,Australia,AU,Queensland,,5699,5699
Palmwoods,-26.6883,152.9597,Australia,AU,Queensland,,5676,5676
Scone,-32.0833,150.8500,Australia,AU,New South Wales,,5624,5624
Whittlesea,-37.5139,145.1140,Australia,AU,Victoria,,5611,5611
East Ballina,-28.8594,153.5872,Australia,AU,New South Wales,,5571,5571
Sarina,-21.4225,149.2175,Australia,AU,Queensland,,5522,5522
Byron Bay,-28.6483,153.6178,Australia,AU,New South Wales,,5521,5521
Granville,-33.8578,151.0106,Australia,AU,New South Wales,,5500,5500
Corowa,-35.9833,146.3833,Australia,AU,New South Wales,,5482,5482
Richmond,-33.5983,150.7511,Australia,AU,New South Wales,,5482,5482
Cooranbong,-33.0740,151.4510,Australia,AU,New South Wales,,5449,5449
Bullsbrook,-31.6630,116.0300,Australia,AU,Western Australia,,5448,5448
Inverloch,-38.6334,145.7278,Australia,AU,Victoria,,5437,5437
New Norfolk,-42.7828,147.0594,Australia,AU,Tasmania,,5432,5432
Stanthorpe,-28.6547,151.9350,Australia,AU,Queensland,,5406,5406
Wingham,-31.8500,152.3670,Australia,AU,New South Wales,,5374,5374
West Tamworth,-31.0894,150.9436,Australia,AU,New South Wales,,5342,5342
Irymple,-34.2333,142.1667,Australia,AU,Victoria,,5325,5325
Dunsborough,-33.6167,115.1000,Australia,AU,Western Australia,,5320,5320
Kununurra,-15.7736,128.7386,Australia,AU,Western Australia,,5308,5308
Smithfield Heights,-16.8314,145.6910,Australia,AU,Queensland,,5303,5303
Woolgoolga,-30.1150,153.2011,Australia,AU,New South Wales,,5290,5290
Bannockburn,-38.0500,144.1667,Australia,AU,Victoria,,5283,5283
Maffra,-37.9500,146.9830,Australia,AU,Victoria,,5280,5280
Tannum Sands,-23.9474,151.3675,Australia,AU,Queensland,,5145,5145
Ocean Shores,-28.5092,153.5375,Australia,AU,New South Wales,,5137,5137
Howard Springs,-12.4922,131.0530,Australia,AU,Northern Territory,,5132,5132
Leongatha,-38.4833,145.9500,Australia,AU,Victoria,,5119,5119
Worragee,-34.9144,150.6386,Australia,AU,New South Wales,,5068,5068
Tahmoor,-34.2233,150.5928,Australia,AU,New South Wales,,5067,5067
Red Cliffs,-34.3075,142.1881,Australia,AU,Victoria,,5060,5060
Glenbrook,-33.7650,150.6267,Australia,AU,New South Wales,,5051,5051
McMinns Lagoon,-12.5329,131.0500,Australia,AU,Northern Territory,,5025,5025
Kiama Downs,-34.6317,150.8511,Australia,AU,New South Wales,,5004,5004
Lyndhurst,-38.0810,145.2070,Australia,AU,Victoria,,4981,4981
Wonthaggi,-38.6056,145.5917,Australia,AU,Victoria,,4965,4965
Junee,-34.8661,147.5822,Australia,AU,New South Wales,,4922,4922
Pinjarra,-32.6300,115.8711,Australia,AU,Western Australia,,4910,4910
Encounter Bay,-35.5742,138.6005,Australia,AU,South Australia,,4901,4901
Nairne,-35.0333,138.9167,Australia,AU,South Australia,,4842,4842
Cowes,-38.4511,145.2419,Australia,AU,Victoria,,4839,4839
Picton,-34.1817,150.6011,Australia,AU,New South Wales,,4816,4816
Salamander Bay,-32.7292,152.0894,Australia,AU,New South Wales,,4815,4815
Lakes Entrance,-37.8667,147.9833,Australia,AU,Victoria,,4810,4810
Mansfield,-37.0500,146.0830,Australia,AU,Victoria,,4787,4787
Churchill,-38.3167,146.4170,Australia,AU,Victoria,,4783,4783
Bucasia,-21.0311,149.1597,Australia,AU,Queensland,,4771,4771
Strathfield,-33.8606,151.0886,Australia,AU,New South Wales,,4767,4767
Boyne Island,-23.9477,151.3550,Australia,AU,Queensland,,4760,4760
Blackwater,-23.4667,148.7667,Australia,AU,Queensland,,4749,4749
Millicent,-37.5967,140.3524,Australia,AU,South Australia,,4734,4734
Oakey,-27.4338,151.7211,Australia,AU,Queensland,,4705,4705
Temora,-34.4333,147.5333,Australia,AU,New South Wales,,4693,4693
Narromine,-32.2333,148.2333,Australia,AU,New South Wales,,4689,4689
Ningi,-27.0667,153.0833,Australia,AU,Queensland,,4675,4675
Bega,-36.6847,149.8422,Australia,AU,New South Wales,,4668,4668
Mount Low,-19.2247,146.6808,Australia,AU,Queensland,,4655,4655
Leura,-33.7167,150.3333,Australia,AU,New South Wales,,4644,4644
Renmark,-34.1741,140.7418,Australia,AU,South Australia,,4634,4634
South West Rocks,-30.8842,153.0403,Australia,AU,New South Wales,,4603,4603
Tanunda,-34.5167,138.9667,Australia,AU,South Australia,,4588,4588
Kadina,-33.9625,137.7125,Australia,AU,South Australia,,4587,2849
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
Glenella,-21.1197,149.1542,Australia,AU,Queensland,,4519,4519
Roxby Downs,-30.5625,136.8785,Australia,AU,South Australia,,4500,3884
Numurkah,-36.0833,145.4333,Australia,AU,Victoria,,4477,4477
Korumburra,-38.4333,145.8167,Australia,AU,Victoria,,4469,4469
Rasmussen,-19.3497,146.7160,Australia,AU,Queensland,,4456,4456
Tatura,-36.4333,145.2330,Australia,AU,Victoria,,4448,4448
Carnarvon,-24.8672,113.6611,Australia,AU,Western Australia,,4426,4426
Romsey,-37.3500,144.7500,Australia,AU,Victoria,,4412,4412
Blackheath,-33.6311,150.2911,Australia,AU,New South Wales,,4396,4396
Bargo,-34.2983,150.5844,Australia,AU,New South Wales,,4393,4393
Old Bar,-31.9667,152.5830,Australia,AU,New South Wales,,4389,4389
Narrandera,-34.7483,146.5511,Australia,AU,New South Wales,,4375,4375
Ingham,-18.6500,146.1667,Australia,AU,Queensland,,4357,4357
Manjimup,-34.2411,116.1464,Australia,AU,Western Australia,,4349,4349
George Town,-41.1000,146.8167,Australia,AU,Tasmania,,4347,4347
Wyong,-33.2820,151.4180,Australia,AU,New South Wales,,4326,4326
Broadford,-37.2000,145.0670,Australia,AU,Victoria,,4319,4319
Drysdale,-38.1667,144.5667,Australia,AU,Victoria,,4275,4275
Narrogin,-32.9360,117.1780,Australia,AU,Western Australia,,4274,4274
Cockatoo,-37.9350,145.4920,Australia,AU,Victoria,,4256,4256
Victor Harbor,-35.5500,138.6167,Australia,AU,South Australia,,4233,4233
Oxford Park,-27.4190,153.0255,Australia,AU,Queensland,,4231,4231
Moama,-36.0833,144.7500,Australia,AU,New South Wales,,4198,4198
Bungendore,-35.2483,149.4511,Australia,AU,New South Wales,,4178,4178
Latrobe,-41.2464,146.4246,Australia,AU,Tasmania,,4169,4169
Curl Curl,-33.7650,151.3011,Australia,AU,New South Wales,,4117,4117
Beachmere,-27.1294,153.0538,Australia,AU,Queensland,,4112,4112
Berri,-34.2833,140.6000,Australia,AU,South Australia,,4103,4088
Wellington,-32.5500,148.9333,Australia,AU,New South Wales,,4077,4077
Tenterfield,-29.0553,152.0178,Australia,AU,New South Wales,,4066,4066
Thirlmere,-34.1983,150.5678,Australia,AU,New South Wales,,4046,4046
Legana,-41.3667,147.0500,Australia,AU,Tasmania,,4029,4029
Faulconbridge,-33.6875,150.5439,Australia,AU,New South Wales,,4025,4025
