city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Denman,-32.3833,150.6833,Australia,AU,New South Wales,,1789,1789
Kambalda West,-31.2114,121.7129,Australia,AU,Western Australia,,1789,1789
Raworth,-32.7289,151.6150,Australia,AU,New South Wales,,1788,1788
Garfield,-38.0667,145.6830,Australia,AU,Victoria,,1786,1786
Campbells Creek,-37.1000,144.2000,Australia,AU,Victoria,,1786,1786
Batehaven,-35.7317,150.2011,Australia,AU,New South Wales,,1776,1776
Moora,-30.6380,116.0100,Australia,AU,Western Australia,,1773,1773
Park Ridge,-27.7271,153.0332,Australia,AU,Queensland,,1762,1762
Coober Pedy,-29.0111,134.7556,Australia,AU,South Australia,,1762,1762
Jurien Bay,-30.2970,115.0420,Australia,AU,Western Australia,,1761,1761
Merriwa,-32.1317,150.3511,Australia,AU,New South Wales,,1761,1761
Miles,-26.6583,150.1870,Australia,AU,Queensland,,1746,1746
Olinda,-37.8560,145.3640,Australia,AU,Victoria,,1738,1738
Brunswick Heads,-28.5586,153.5447,Australia,AU,New South Wales,,1737,1737
Mount Compass,-35.3506,138.6203,Australia,AU,South Australia,,1731,1457
Dimboola,-36.4500,142.0167,Australia,AU,Victoria,,1730,1730
Clunes,-37.3000,143.7833,Australia,AU,Victoria,,1728,1728
Heywood,-38.1333,141.6170,Australia,AU,Victoria,,1726,1726
Kooralbyn,-28.0725,152.8208,Australia,AU,Queensland,,1725,1725
Teesdale,-38.0333,144.0500,Australia,AU,Victoria,,1721,1721
Iluka,-29.4067,153.3511,Australia,AU,New South Wales,,1718,1718
Broulee,-35.8483,150.1678,Australia,AU,New South Wales,,1717,1717
Holbrook,-35.7150,147.3178,Australia,AU,New South Wales,,1715,1715
Drayton,-27.6000,151.9060,Australia,AU,Queensland,,1710,1710
Nullagine,-21.8880,120.1070,Australia,AU,Western Australia,,1701,1701
Esk,-27.2394,152.4197,Australia,AU,Queensland,,1698,1698
Gulmarrad,-29.4900,153.2344,Australia,AU,New South Wales,,1694,1694
Corindi Beach,-30.0317,153.2011,Australia,AU,New South Wales,,1686,1686
Gundagai,-35.0650,148.1011,Australia,AU,New South Wales,,1676,1676
Tathra,-36.7317,149.9844,Australia,AU,New South Wales,,1675,1675
North Haven,-31.6317,152.8178,Australia,AU,New South Wales,,1670,1670
Spreyton,-41.2167,146.3500,Australia,AU,Tasmania,,1669,1669
Boambee,-30.3317,153.0844,Australia,AU,New South Wales,,1668,1668
Casterton,-37.5833,141.4000,Australia,AU,Victoria,,1668,1668
Pine Mountain,-27.5333,152.7170,Australia,AU,Queensland,,1667,1667
Somers,-38.3930,145.1630,Australia,AU,Victoria,,1667,1667
Tailem Bend,-35.2500,139.4500,Australia,AU,South Australia,,1665,1665
Milton,-35.3042,150.4408,Australia,AU,New South Wales,,1663,1663
Sutton,-35.1483,149.2178,Australia,AU,New South Wales,,1660,1660
Wy Yung,-37.7953,147.6073,Australia,AU,Victoria,,1657,1657
Rosedale,-38.1500,146.7830,Australia,AU,Victoria,,1654,1654
Millgrove,-37.7530,145.6520,Australia,AU,Victoria,,1653,1653
Braidwood,-35.4483,149.8011,Australia,AU,New South Wales,,1651,1651
Yarragon,-38.2000,146.0670,Australia,AU,Victoria,,1650,1650
Kingston South East,-36.8167,139.8500,Australia,AU,South Australia,,1648,1393
Belgrave South,-37.9400,145.3560,Australia,AU,Victoria,,1645,1645
Boorowa,-34.4397,148.7203,Australia,AU,New South Wales,,1641,1641
Jamberoo,-34.6483,150.7761,Australia,AU,New South Wales,,1636,1636
Yaroomba,-26.5500,153.1000,Australia,AU,Queensland,,1623,1623
Colo Vale,-34.3983,150.4844,Australia,AU,New South Wales,,1618,1618
Kleinton,-27.4167,151.9500,Australia,AU,Queensland,,1617,1617
Chiltern,-36.1500,146.6000,Australia,AU,Victoria,,1605,1605
Apollo Bay,-38.7500,143.6500,Australia,AU,Victoria,,1598,1598
Plainland,-27.5816,152.4163,Australia,AU,Queensland,,1596,1596
Sorrento,-38.3396,144.7413,Australia,AU,Victoria,,1592,1592
Warialda,-29.4097,150.5217,Australia,AU,New South Wales,,1590,1590
Yea,-37.2000,145.4167,Australia,AU,Victoria,,1587,1587
Lang Lang,-38.2667,145.5670,Australia,AU,Victoria,,1585,1585
Childers,-25.2363,152.2775,Australia,AU,Queensland,,1584,1584
Cambooya,-27.7077,151.8633,Australia,AU,Queensland,,1584,1584
Werris Creek,-31.3483,150.6511,Australia,AU,New South Wales,,1572,1572
Bowen Mountain,-33.5817,150.6344,Australia,AU,New South Wales,,1571,1571
Tooradin,-38.2111,145.3800,Australia,AU,Victoria,,1568,1568
Bridport,-41.0005,147.3918,Australia,AU,Tasmania,,1568,1568
Chinderah,-28.2567,153.5344,Australia,AU,New South Wales,,1566,1566
Mapleton,-26.6247,152.8666,Australia,AU,Queensland,,1564,1564
Millmerran,-27.8788,151.2683,Australia,AU,Queensland,,1563,1563
Badger Creek,-37.7000,145.5167,Australia,AU,Victoria,,1563,1563
Jamestown,-33.2053,138.6019,Australia,AU,South Australia,,1561,1561
Cygnet,-43.1500,147.0670,Australia,AU,Tasmania,,1556,1556
Basin View,-35.0928,150.5572,Australia,AU,New South Wales,,1554,1554
Sheffield,-41.3822,146.3247,Australia,AU,Tasmania,,1552,1552
Curlewis,-38.1833,144.5000,Australia,AU,Victoria,,1551,1551
Walloon,-27.6000,152.6667,Australia,AU,Queensland,,1548,1548
Devon Meadows,-38.1620,145.3030,Australia,AU,Victoria,,1548,1548
Halls Creek,-18.2300,127.6700,Australia,AU,Western Australia,,1546,1499
Yallourn North,-38.1667,146.3670,Australia,AU,Victoria,,1545,1545
Mirani,-21.1667,148.8667,Australia,AU,Queensland,,1541,1541
Beaufort,-37.4333,143.3667,Australia,AU,Victoria,,1539,1539
River Heads,-25.4133,152.9136,Australia,AU,Queensland,,1539,1539
Yenda,-34.2500,146.1710,Australia,AU,New South Wales,,1537,1537
Rockbank,-37.7333,144.6670,Australia,AU,Victoria,,1536,1536
Bermagui,-36.4317,150.0678,Australia,AU,New South Wales,,1536,1536
Kinglake,-37.5328,145.3411,Australia,AU,Victoria,,1536,1536
Crescent Head,-31.1900,152.9761,Australia,AU,New South Wales,,1531,1531
Tocumwal,-35.8150,145.5681,Australia,AU,New South Wales,,1527,1527
Nyora,-38.3333,145.6670,Australia,AU,Victoria,,1527,1527
Gol Gol,-34.1667,142.2167,Australia,AU,New South Wales,,1523,1523
Cumbalum,-28.8317,153.5344,Australia,AU,New South Wales,,1522,1522
Allansford,-38.3861,142.5930,Australia,AU,Victoria,,1521,1521
Hatton Vale,-27.5667,152.4830,Australia,AU,Queensland,,1521,1521
Barham,-35.5806,144.1950,Australia,AU,New South Wales,,1518,1518
Ferny Creek,-37.8833,145.3333,Australia,AU,Victoria,,1518,1518
Crystal Brook,-33.3500,138.2000,Australia,AU,South Australia,,1515,1515
Maldon,-36.9917,144.0667,Australia,AU,Victoria,,1513,1513
Little Grove,-35.0700,117.8700,Australia,AU,Western Australia,,1503,1503
Donald,-36.3157,142.9530,Australia,AU,Victoria,,1498,1498
Longford,-38.1642,147.0870,Australia,AU,Victoria,,1497,1497
Katherine,-14.4667,132.2667,Australia,AU,Northern Territory,,1488,1488
Lake Cargelligo,-33.2983,146.3678,Australia,AU,New South Wales,,1479,1479
Drummond Cove,-28.6730,114.6130,Australia,AU,Western Australia,,1477,1477
Jensen,-19.2572,146.6410,Australia,AU,Queensland,,1476,1476
Tumby Bay,-34.3667,136.1000,Australia,AU,South Australia,,1474,1474
Inverleigh,-38.1000,144.0500,Australia,AU,Victoria,,1474,1474
Culcairn,-35.6650,147.0344,Australia,AU,New South Wales,,1473,1473
Burrill Lake,-35.3817,150.4511,Australia,AU,New South Wales,,1465,1465
Hillston,-33.4817,145.5344,Australia,AU,New South Wales,,1465,1465
Richmond,-42.7336,147.4394,Australia,AU,Tasmania,,1464,1464
Cooran,-26.3353,152.8236,Australia,AU,Queensland,,1457,1457
Clifton,-27.9325,151.9055,Australia,AU,Queensland,,1456,1456
Metung,-37.8833,147.8500,Australia,AU,Victoria,,1449,1449
Booral,-25.3539,152.8897,Australia,AU,Queensland,,1449,1449
Oakhurst,-25.5125,152.6263,Australia,AU,Queensland,,1444,1444
Gooburrum,-24.8222,152.3216,Australia,AU,Queensland,,1442,1442
Wentworth,-34.0833,141.9000,Australia,AU,New South Wales,,1437,1437
Long Beach,-35.6983,150.2344,Australia,AU,New South Wales,,1436,1436
Bingara,-29.8650,150.5678,Australia,AU,New South Wales,,1428,1428
Table Top,-35.9650,147.0011,Australia,AU,New South Wales,,1425,1425
Bulahdelah,-32.3831,152.1953,Australia,AU,New South Wales,,1424,1424
Barcaldine,-23.5555,145.2888,Australia,AU,Queensland,,1422,1422
Blackall,-24.4167,145.4667,Australia,AU,Queensland,,1416,1416
Peterborough,-32.9667,138.8333,Australia,AU,South Australia,,1416,1416
Marong,-36.7333,144.1330,Australia,AU,Victoria,,1416,1416
Karuah,-32.6431,151.9572,Australia,AU,New South Wales,,1411,1411
Port Denison,-29.2833,114.9167,Australia,AU,Western Australia,,1410,1410
Barraba,-30.3817,150.6178,Australia,AU,New South Wales,,1410,1410
Toodyay,-31.5500,116.4500,Australia,AU,Western Australia,,1408,1408
Doomadgee,-17.9443,138.8300,Australia,AU,Queensland,,1405,1405
Ripley,-27.7167,152.8333,Australia,AU,Queensland,,1405,1405
Ravenshoe,-17.6058,145.4830,Australia,AU,Queensland,,1400,1400
Hindmarsh,-35.5167,138.8667,Australia,AU,South Australia,,1398,1398
Frederickton,-31.0317,152.8678,Australia,AU,New South Wales,,1391,1391
Warren,-31.6983,147.8344,Australia,AU,New South Wales,,1389,1389
Bombala,-36.9167,149.2333,Australia,AU,New South Wales,,1387,1387
Paraburdoo,-23.2010,117.6710,Australia,AU,Western Australia,,1380,1380
Dongara,-29.2510,114.9340,Australia,AU,Western Australia,,1380,1380
Streaky Bay,-32.8000,134.2167,Australia,AU,South Australia,,1378,1378
Mortlake,-38.0667,142.8000,Australia,AU,Victoria,,1372,1372
Surfside,-35.6950,150.1997,Australia,AU,New South Wales,,1371,1371
Meadows,-35.1833,138.7500,Australia,AU,South Australia,,1369,1369
Wallington,-38.2000,144.4833,Australia,AU,Victoria,,1364,1364
Douglas Park,-34.1900,150.7011,Australia,AU,New South Wales,,1362,1362
Howard,-25.3167,152.5670,Australia,AU,Queensland,,1359,1359
Bagdad,-42.6167,147.2170,Australia,AU,Tasmania,,1356,1356
Alligator Creek,-19.4239,146.9460,Australia,AU,Queensland,,1353,1353
Macclesfield,-35.1667,138.8330,Australia,AU,South Australia,,1352,1352
Wundowie,-31.7667,116.3830,Australia,AU,Western Australia,,1352,1352
Kalbarri,-27.7100,114.1600,Australia,AU,Western Australia,,1349,1349
Corryong,-36.1981,147.8990,Australia,AU,Victoria,,1348,1348
Hay Point,-21.3027,149.2636,Australia,AU,Queensland,,1348,1348
Evandale,-41.5833,147.2333,Australia,AU,Tasmania,,1345,1345
Balranald,-34.6383,143.5603,Australia,AU,New South Wales,,1343,1343
Kurrajong Heights,-33.5500,150.6667,Australia,AU,New South Wales,,1342,1342
Quindalup,-33.6671,115.1451,Australia,AU,Western Australia,,1336,1336
Mount Macedon,-37.4000,144.5833,Australia,AU,Victoria,,1335,1335
Rushworth,-36.5833,145.0167,Australia,AU,Victoria,,1335,1335
Coleambally,-34.8067,145.8844,Australia,AU,New South Wales,,1331,1331
Waterview Heights,-29.6650,152.8678,Australia,AU,New South Wales,,1325,1325
Little River,-37.9330,144.5000,Australia,AU,Victoria,,1322,1322
Bywong,-35.1650,149.3344,Australia,AU,New South Wales,,1322,1322
Sharon,-24.8761,152.2458,Australia,AU,Queensland,,1316,1316
Queenscliff,-38.2667,144.6500,Australia,AU,Victoria,,1315,1315
Kandos,-32.8483,149.9678,Australia,AU,New South Wales,,1315,1315
Valla Beach,-30.5900,153.0075,Australia,AU,New South Wales,,1313,1313
Batlow,-35.5150,148.1344,Australia,AU,New South Wales,,1313,1313
Chewton,-37.0833,144.2670,Australia,AU,Victoria,,1313,1313
Penola,-37.3786,140.8362,Australia,AU,South Australia,,1312,1312
Cardwell,-18.2642,146.0258,Australia,AU,Queensland,,1309,1309
Glenden,-21.3539,148.1144,Australia,AU,Queensland,,1308,620
Neerim South,-38.0167,145.9667,Australia,AU,Victoria,,1305,1305
Geeveston,-43.1667,146.9330,Australia,AU,Tasmania,,1302,1302
Renmark West,-34.1653,140.7097,Australia,AU,South Australia,,1301,1301
Birdwood,-34.8167,138.9670,Australia,AU,South Australia,,1298,1298
Beaconsfield,-41.2000,146.8000,Australia,AU,Tasmania,,1298,1298
Fitzroy Crossing,-18.1944,125.5667,Australia,AU,Western Australia,,1297,1297
Coolah,-31.8317,149.7178,Australia,AU,New South Wales,,1290,1290
Seven Mile Beach,-42.8586,147.5053,Australia,AU,Tasmania,,1286,1286
Toogoolawah,-27.0852,152.3758,Australia,AU,Queensland,,1279,1279
Alton Downs,-23.3158,150.3644,Australia,AU,Queensland,,1278,1278
Coraki,-28.9983,153.2844,Australia,AU,New South Wales,,1277,1277
Ranelagh,-43.0167,147.0333,Australia,AU,Tasmania,,1268,1268
Serpentine,-32.3650,115.9810,Australia,AU,Western Australia,,1265,1265
Mundubbera,-25.5881,151.2991,Australia,AU,Queensland,,1261,1261
Berrigan,-35.6317,145.8011,Australia,AU,New South Wales,,1260,1260
Hanwood,-34.3317,146.0344,Australia,AU,New South Wales,,1256,1256
San Remo,-38.5167,145.3667,Australia,AU,Victoria,,1254,1254
Lucknow,-37.8133,147.6481,Australia,AU,Victoria,,1254,1254
Millthorpe,-33.4483,149.1844,Australia,AU,New South Wales,,1253,1253
Babinda,-17.3450,145.9250,Australia,AU,Queensland,,1253,1253
Mount Dandenong,-37.8311,145.3600,Australia,AU,Victoria,,1251,1251
Rainbow Beach,-25.9075,153.0888,Australia,AU,Queensland,,1249,1249
Langwarrin,-38.1890,145.1890,Australia,AU,Victoria,,1248,1248
Collinsville,-20.5526,147.8452,Australia,AU,Queensland,,1248,1248
Silvan,-37.8240,145.4210,Australia,AU,Victoria,,1246,1246
Jandowae,-26.7775,151.1108,Australia,AU,Queensland,,1246,1047
Wongaling Beach,-17.9145,146.0972,Australia,AU,Queensland,,1245,1245
Warragamba,-33.8817,150.6011,Australia,AU,New South Wales,,1241,1241
Henty,-35.5150,147.0344,Australia,AU,New South Wales,,1237,1237
The Rock,-35.2650,147.1178,Australia,AU,New South Wales,,1236,1236
Smiths Lake,-32.3747,152.5036,Australia,AU,New South Wales,,1235,1235
Mundijong,-32.2840,115.9730,Australia,AU,Western Australia,,1232,1232
Aldavilla,-31.0817,152.7678,Australia,AU,New South Wales,,1230,1230
Canungra,-28.0195,153.1652,Australia,AU,Queensland,,1229,1229
Binningup,-33.1490,115.6890,Australia,AU,Western Australia,,1227,1227
Hawks Nest,-32.6300,152.2006,Australia,AU,New South Wales,,1223,1223
Allora,-28.0355,151.9802,Australia,AU,Queensland,,1223,1223
Beauty Point,-41.1622,146.8215,Australia,AU,Tasmania,,1222,1222
Dunedoo,-32.0150,149.3928,Australia,AU,New South Wales,,1221,1221
Boyanup,-33.4861,115.7300,Australia,AU,Western Australia,,1217,1217
Buronga,-34.1706,142.1733,Australia,AU,New South Wales,,1212,1212
Valley Heights,-33.7000,150.5833,Australia,AU,New South Wales,,1211,1211
Normanton,-17.6667,141.0667,Australia,AU,Queensland,,1210,1210
Greenwell Point,-34.9150,150.7344,Australia,AU,New South Wales,,1209,1209
Airlie Beach,-20.2744,148.7150,Australia,AU,Queensland,,1208,1208
Hamilton Island,-20.3500,148.9500,Australia,AU,Queensland,,1208,1208
Eden Park,-37.4890,145.0700,Australia,AU,Victoria,,1204,1204
Timboon,-38.4833,142.9667,Australia,AU,Victoria,,1202,1202
Witta,-26.6975,152.8119,Australia,AU,Queensland,,1201,1201
Coominya,-27.3919,152.5022,Australia,AU,Queensland,,1200,1200
Snug,-43.0671,147.2556,Australia,AU,Tasmania,,1199,1199
Raglan,-33.4317,149.6511,Australia,AU,New South Wales,,1199,1199
Boddington,-32.8020,116.4710,Australia,AU,Western Australia,,1198,1198
Berridale,-36.3650,148.8178,Australia,AU,New South Wales,,1197,1197
Nelly Bay,-19.1583,146.8486,Australia,AU,Queensland,,1196,1196
Haddon,-37.5908,143.7190,Australia,AU,Victoria,,1194,1194
Avoca,-37.0881,143.4739,Australia,AU,Victoria,,1193,1193
Jarrahdale,-32.3390,116.0620,Australia,AU,Western Australia,,1192,1192
Dorrigo,-30.3990,152.7533,Australia,AU,New South Wales,,1191,1191
Ouyen,-35.0667,142.3170,Australia,AU,Victoria,,1191,1191
Monto,-24.8667,151.1167,Australia,AU,Queensland,,1189,1189
Glenview,-26.7667,153.0167,Australia,AU,Queensland,,1187,1187
Bindoon,-31.3800,116.0970,Australia,AU,Western Australia,,1183,1183
Trentham,-37.3833,144.3167,Australia,AU,Victoria,,1180,1180
Marulan,-34.7150,150.0011,Australia,AU,New South Wales,,1178,1178
Ardrossan,-34.4167,137.9000,Australia,AU,South Australia,,1167,1167
Kinglake West,-37.4667,145.2330,Australia,AU,Victoria,,1166,1166
Kojonup,-33.8400,117.1500,Australia,AU,Western Australia,,1165,1165
Yerrinbool,-34.3650,150.5425,Australia,AU,New South Wales,,1164,1164
Bamaga,-10.8833,142.3833,Australia,AU,Queensland,,1164,1164
Beverley,-32.1090,116.9260,Australia,AU,Western Australia,,1163,1163
Darlington Point,-34.5650,146.0011,Australia,AU,New South Wales,,1162,1162
Oatlands,-42.2996,147.3666,Australia,AU,Tasmania,,1157,1157
Middleton,-35.5000,138.7000,Australia,AU,South Australia,,1156,1156
Aldershot,-25.4625,152.6610,Australia,AU,Queensland,,1152,1152
Gordon,-37.5833,144.1000,Australia,AU,Victoria,,1151,1151
Menangle,-34.1233,150.7428,Australia,AU,New South Wales,,1150,1150
Gundaroo,-35.0317,149.2844,Australia,AU,New South Wales,,1146,1146
Brewarrina,-29.9483,146.8678,Australia,AU,New South Wales,,1143,1143
Kendall,-31.6322,152.7056,Australia,AU,New South Wales,,1141,1141
Cunnamulla,-28.0702,145.6825,Australia,AU,Queensland,,1140,1140
Hughenden,-20.8438,144.1986,Australia,AU,Queensland,,1136,1136
Indented Head,-38.1381,144.7100,Australia,AU,Victoria,,1133,1133
Quorn,-32.3495,138.0406,Australia,AU,South Australia,,1131,1131
Boggabri,-30.7150,150.0344,Australia,AU,New South Wales,,1130,1130
Tieri,-23.0350,148.3483,Australia,AU,Queensland,,1129,1129
Cherbourg,-26.2833,151.9500,Australia,AU,Queensland,,1128,1128
Moonbi,-31.0167,151.0667,Australia,AU,New South Wales,,1126,1126
Monash,-34.2333,140.5500,Australia,AU,South Australia,,1124,1124
Bowraville,-30.6317,152.8642,Australia,AU,New South Wales,,1122,1122
McLaren Flat,-35.2080,138.5865,Australia,AU,South Australia,,1121,1121
Carlton,-42.8740,147.6534,Australia,AU,Tasmania,,1119,1119
Meningie,-35.6883,139.3380,Australia,AU,South Australia,,1118,1118
Bakers Hill,-31.7510,116.4550,Australia,AU,Western Australia,,1118,1118
Eudlo,-26.7333,152.9670,Australia,AU,Queensland,,1117,1117
Carisbrook,-37.0481,143.8170,Australia,AU,Victoria,,1115,1115
Lorne,-38.5333,143.9670,Australia,AU,Victoria,,1114,1114
South Murwillumbah,-28.3317,153.4094,Australia,AU,New South Wales,,1114,1114
Wurruk,-38.1130,147.0210,Australia,AU,Victoria,,1112,1112
Cressy,-41.6833,147.0830,Australia,AU,Tasmania,,1111,1111
Echunga,-35.1000,138.7833,Australia,AU,South Australia,,1109,1109
Augusta,-34.3120,115.1590,Australia,AU,Western Australia,,1109,1109
Cowell,-33.6833,136.9167,Australia,AU,South Australia,,1109,1109
Peak Hill,-32.7075,148.0514,Australia,AU,New South Wales,,1106,1106
Yungaburra,-17.2711,145.5831,Australia,AU,Queensland,,1106,1106
Paringa,-34.1667,140.7833,Australia,AU,South Australia,,1105,1105
Dampier,-20.6600,116.7100,Australia,AU,Western Australia,,1104,1104
Burra,-33.6667,138.9333,Australia,AU,South Australia,,1103,1103
Springsure,-24.1161,148.0886,Australia,AU,Queensland,,1103,1103
Minlaton,-34.7714,137.5960,Australia,AU,South Australia,,1099,1099
Yulara,-25.2406,130.9889,Australia,AU,Northern Territory,,1099,1099
Wahgunyah,-36.0000,146.3833,Australia,AU,Victoria,,1098,1098
Ellalong,-32.9072,151.3214,Australia,AU,New South Wales,,1098,1098
Moorooduc,-38.2470,145.1050,Australia,AU,Victoria,,1098,1098
Mylor,-35.0500,138.7500,Australia,AU,South Australia,,1097,1097
Nicholson,-37.8167,147.7333,Australia,AU,Victoria,,1095,1095
Franklin,-43.0833,147.0170,Australia,AU,Tasmania,,1094,1094
Eagle Point,-37.9000,147.6830,Australia,AU,Victoria,,1094,1094
Brandon,-19.5541,147.3547,Australia,AU,Queensland,,1094,1094
Kersbrook,-34.7840,138.8520,Australia,AU,South Australia,,1093,1093
Kalbar,-27.9419,152.6233,Australia,AU,Queensland,,1093,1093
Minden,-27.5500,152.5333,Australia,AU,Queensland,,1093,1093
Parsons Point,-23.8492,151.2733,Australia,AU,Queensland,,1093,1093
Tinonee,-31.9483,152.4178,Australia,AU,New South Wales,,1092,1092
Julatten,-16.6069,145.3430,Australia,AU,Queensland,,1091,1091
Robe,-37.1500,139.7500,Australia,AU,South Australia,,1090,1090
Kew,-31.6317,152.7178,Australia,AU,New South Wales,,1089,1089
Greenock,-34.4578,138.9280,Australia,AU,South Australia,,1087,1087
Bouldercombe,-23.5767,150.4671,Australia,AU,Queensland,,1085,1085
Glengarry,-38.1333,146.5500,Australia,AU,Victoria,,1084,1084
Mollymook,-35.3372,150.4667,Australia,AU,New South Wales,,1083,1083
Tallangatta,-36.2000,147.2500,Australia,AU,Victoria,,1082,1082
Briagolong,-37.8333,147.0670,Australia,AU,Victoria,,1081,1081
Jabiru,-12.6667,132.8333,Australia,AU,Northern Territory,,1081,1081
Puckapunyal,-37.0000,145.0330,Australia,AU,Victoria,,1078,1078
Keith,-36.0991,140.3541,Australia,AU,South Australia,,1076,1076
Balhannah,-34.9833,138.8167,Australia,AU,South Australia,,1075,1075
Cabarlah,-27.4333,152.0000,Australia,AU,Queensland,,1075,1075
Tomerong,-35.0494,150.5667,Australia,AU,New South Wales,,1065,1065
Yarraman,-26.8411,151.9841,Australia,AU,Queensland,,1064,1064
Mallacoota,-37.5500,149.7500,Australia,AU,Victoria,,1063,1063
Panton Hill,-37.6430,145.2390,Australia,AU,Victoria,,1062,1062
Sassafras Gully,-37.8700,145.3540,Australia,AU,Victoria,,1061,1061
Lockhart,-35.2150,146.7178,Australia,AU,New South Wales,,1061,1061
Coutts Crossing,-29.8317,152.8844,Australia,AU,New South Wales,,1060,1060
Helidon,-27.5506,152.1256,Australia,AU,Queensland,,1059,1059
Nana Glen,-30.1317,153.0011,Australia,AU,New South Wales,,1055,1055
Gin Gin,-31.9114,148.0897,Australia,AU,New South Wales,,1053,1053
Gin Gin,-24.9908,151.9558,Australia,AU,Queensland,,1053,1053
Charlton,-36.2667,143.3500,Australia,AU,Victoria,,1050,1050
Dimbulah,-17.1489,145.1110,Australia,AU,Queensland,,1050,1050
Avenel,-36.9000,145.2330,Australia,AU,Victoria,,1048,1048
Lawrence,-29.4983,153.1011,Australia,AU,New South Wales,,1046,1046
Lower Beechmont,-28.0470,153.2470,Australia,AU,New South Wales,,1046,1046
Mulambin,-23.1978,150.7885,Australia,AU,Queensland,,1042,921
Elliott Heads,-24.9119,152.4902,Australia,AU,Queensland,,1040,1040
Bluewater,-19.1744,146.5503,Australia,AU,Queensland,,1040,1040
Murrurundi,-31.7650,150.8344,Australia,AU,New South Wales,,1038,1038
Riverton,-34.1500,138.7330,Australia,AU,South Australia,,1036,1036
Port Broughton,-33.5833,137.9356,Australia,AU,South Australia,,1034,1034
Smythesdale,-37.6500,143.6833,Australia,AU,Victoria,,1032,1032
Goombungee,-27.3167,151.7000,Australia,AU,Queensland,,1032,1026
Mitchell,-26.4861,147.9752,Australia,AU,Queensland,,1031,1031
Maitland,-34.3667,137.6667,Australia,AU,South Australia,,1029,1029
Coleraine,-37.6000,141.7000,Australia,AU,Victoria,,1029,1029
Jerilderie,-35.3500,145.7333,Australia,AU,New South Wales,,1029,1029
Yellow Rock,-33.6983,150.6344,Australia,AU,New South Wales,,1029,1029
Yallingup,-33.6397,115.0263,Australia,AU,Western Australia,,1029,1029
Bucca,-24.8625,152.1008,Australia,AU,Queensland,,1027,1027
Mount Pleasant,-34.7730,139.0510,Australia,AU,South Australia,,1020,1020
Wesburn,-37.7670,145.6470,Australia,AU,Victoria,,1019,1019
Nome,-19.3594,146.9508,Australia,AU,Queensland,,1016,1016
Lethbridge,-37.9667,144.1330,Australia,AU,Victoria,,1014,1014
Nar Nar Goon,-38.0819,145.5750,Australia,AU,Victoria,,1012,1012
Capella,-23.0667,148.0167,Australia,AU,Queensland,,1010,1010
The Palms,-26.1902,152.5861,Australia,AU,Queensland,,1010,1010
Millfield,-32.8886,151.2614,Australia,AU,New South Wales,,1006,1006
Dunbogan,-31.6500,152.8167,Australia,AU,New South Wales,,1002,1002
Tomakin,-35.8228,150.1894,Australia,AU,New South Wales,,1001,1001
Currie,-39.9311,143.8510,Australia,AU,Tasmania,minor,768,768
